model,mean_score,median_score,std_score,min_score,max_score,n_experiments
ChatGPT,0.7098250336473755,0.7098250336473755,0.0,0.7098250336473755,0.7098250336473755,3
qwen,0.7014065050237449,0.6020934689665339,0.22809032395085885,0.5021260461047008,1.0,9
Qwen25,0.6882017447387253,0.7149472530483628,0.07698255729245347,0.5498785172041818,0.7871091776706814,9
OpenHermes,0.6817623527077836,0.6892624728850325,0.015000240354497815,0.6592619921760369,0.6892624728850325,4
gemma2,0.653669973798059,0.670890673814243,0.11768927864583448,0.5341246290801187,0.854163941748032,15
Hermes3,0.624740114487564,0.6481304091078549,0.09178833022235668,0.3906545383123419,0.68665025157906,9
DolphinLlama,0.6161204285190434,0.6566659599927591,0.09026014850380383,0.40780075220075074,0.6885326353672501,9
NeuralChat,0.6032412202422822,0.6269140833649416,0.13466319411020855,0.3017870423492913,0.7234462227538542,12
Roberta,0.5928773720688614,0.6374369022858473,0.15359268802159193,0.3258243623580432,0.7375541125541125,12
Aya,0.5900104661162864,0.6682150838562758,0.14249874395040507,0.3469024099920565,0.7434158296826794,9
Llama,0.5845325351613655,0.6143701968976609,0.10805316997961066,0.3101827922472437,0.6761043973312724,15
MistralOpenOrca,0.5831309225167879,0.5881597365104831,0.1424879470845425,0.2375702811760747,0.7380295813487091,12
hermes3,0.5612702738349631,0.5612702738349631,0.07510461197390943,0.49270945691699175,0.6298310907529344,6
Mistral,0.555932294209556,0.5160597538756,0.14722215403352848,0.21257971276202908,0.7677345537757438,15
aya,0.5557765011901579,0.4424494250229871,0.17707777525600563,0.3667588415077863,0.7687003313105806,11
mistral-openorca,0.5266079404777757,0.5266079404777757,0.0,0.5266079404777757,0.5266079404777757,3
openhermes,0.5217261795690405,0.5217261795690405,0.0,0.5217261795690405,0.5217261795690405,3
Hatebert_toxigen,0.5133363885433967,0.5133363885433967,0.0,0.5133363885433967,0.5133363885433967,3
dolphin_llama3,0.5048882063447876,0.5048882063447875,0.04518068389828293,0.4636440734537875,0.5461323392357875,6
Perspective,0.45147847201718333,0.4606781535016376,0.38093190023091245,0.0,0.8682873975756755,12
RoBERTa_ToxiGen,0.43851495017023506,0.43851495017023506,0.0,0.43851495017023506,0.43851495017023506,3
Llama3ChatQA,0.43233355843844046,0.39445060986497055,0.17450624229988193,0.2853197272175507,0.7097493864802559,12
neural-chat,0.4134148156720416,0.4134148156720416,0.0,0.4134148156720416,0.4134148156720416,3
llama3-chatqa,0.4043356387432875,0.4043356387432875,0.0,0.4043356387432875,0.4043356387432875,3
LlamaGuard,0.32025638352343977,0.32025638352343977,0.29279415915472856,0.052973107398768836,0.5875396596481107,6
granite3-guardian,0.048285261113081436,0.04828526111308144,0.0,0.04828526111308144,0.04828526111308144,3
phi35,0.0003466287659770776,0.0003466287659770776,0.0,0.0003466287659770776,0.0003466287659770776,3
