model,mean_score,median_score,std_score,min_score,max_score,n_experiments
qwen,0.721037533002447,0.6020934689665339,0.20997646086746308,0.5610191300408071,1.0,9
ChatGPT,0.7098250336473755,0.7098250336473755,0.0,0.7098250336473755,0.7098250336473755,3
OpenHermes,0.6820488344772042,0.6892624728850325,0.01442727681565648,0.6604079192537196,0.6892624728850325,4
Qwen25,0.6767661851194873,0.7149472530483628,0.06072156688595528,0.5498785172041818,0.7310010632647734,9
gemma2,0.6601133312511487,0.6713711585188435,0.08635121110466652,0.5341246290801187,0.7741177007485984,15
Hermes3,0.6112000425454478,0.6295166565047698,0.09230216496892385,0.3906545383123419,0.68665025157906,9
mistral-openorca,0.604978628341638,0.604978628341638,0.0,0.604978628341638,0.604978628341638,3
DolphinLlama,0.6030301736668332,0.5942879167922785,0.08722203518731585,0.4078007522007508,0.6885326353672501,9
NeuralChat,0.5988740390441357,0.6280235985671598,0.1305789012402044,0.3017870423492913,0.717789119880493,12
openhermes,0.5936328874745151,0.5936328874745151,0.0,0.5936328874745151,0.5936328874745151,3
Llama,0.5918616390076218,0.5883099860735643,0.09639527726379421,0.3101827922472437,0.6773129580732327,15
Roberta,0.5913052047094204,0.6419150031729528,0.1593987047256966,0.3258243623580432,0.7375541125541125,12
hermes3,0.5829843535207945,0.5829843535207945,0.051318029455120366,0.5361376162886545,0.6298310907529344,6
Aya,0.5820200708142745,0.6687824118053616,0.13336389878577296,0.3469024099920565,0.7065992773614475,9
MistralOpenOrca,0.5777185017364724,0.573536581503429,0.14498612005310468,0.2375702811760747,0.738029581348709,12
Hatebert_toxigen,0.573735310513458,0.573735310513458,0.0,0.573735310513458,0.573735310513458,3
Mistral,0.5660262668437952,0.583124618611535,0.14756822758273253,0.2125797127620291,0.7677345537757437,15
neural-chat,0.5595042141881587,0.5595042141881587,0.0,0.5595042141881587,0.5595042141881587,3
aya,0.5524305824146761,0.47661723837616315,0.15623410096672594,0.3667588415077863,0.7161720169594186,11
dolphin_llama3,0.5282304017145444,0.5282304017145443,0.019610590006866036,0.5103284641933011,0.5461323392357875,6
RoBERTa_ToxiGen,0.4735831238072589,0.4735831238072589,0.0,0.4735831238072589,0.4735831238072589,3
Perspective,0.45766000954354435,0.4664813027335985,0.3671463089061801,0.0,0.8682873975756755,12
llama3-chatqa,0.4448195616818555,0.4448195616818555,0.0,0.4448195616818555,0.4448195616818555,3
Llama3ChatQA,0.4329750803988715,0.39445060986497055,0.17401264654580306,0.28383676403958297,0.7097493864802559,12
LlamaGuard,0.4329721756231088,0.43297217562310875,0.16932019531462592,0.2784046915981068,0.5875396596481107,6
granite3-guardian,0.28744409315769864,0.28744409315769864,0.0,0.28744409315769864,0.28744409315769864,3
phi35,0.0010925807789497668,0.0010925807789497668,0.0,0.0010925807789497668,0.0010925807789497668,3
