model,mean_score,median_score,std_score,min_score,max_score,n_experiments
ChatGPT,0.7098250336473755,0.7098250336473755,0.0,0.7098250336473755,0.7098250336473755,3
qwen,0.6910067616515798,0.6020934689665339,0.2386034189646603,0.4709268159882056,1.0,9
OpenHermes,0.6786101316944747,0.6892624728850325,0.021304682381115655,0.6466531081228012,0.6892624728850325,4
Qwen25,0.642280338047182,0.6252714145558061,0.0589373711106536,0.5498785172041818,0.7149472530483628,9
gemma2,0.6176584632092771,0.6346394402990977,0.08966717449000636,0.5129565009070503,0.7469793887704336,15
Hermes3,0.5771737516698439,0.6081821119814388,0.11205858511698255,0.3906545383123419,0.68665025157906,9
NeuralChat,0.5750427332546512,0.5881739830896039,0.12135082919454425,0.3017870423492913,0.717789119880493,12
Roberta,0.5667927225235042,0.6237745212464967,0.18649054889692818,0.2616769776495902,0.7375541125541125,12
DolphinLlama,0.5666193549835703,0.566947960029459,0.10591316285374142,0.4078007522007508,0.6885326353672501,9
MistralOpenOrca,0.5557932541919302,0.5691444007341879,0.160375248927579,0.2375702811760747,0.738029581348709,12
Llama,0.5539418213967604,0.5883099860735643,0.1197915229812492,0.3101827922472437,0.6758114898818416,15
Aya,0.5513744087615935,0.5834587824698503,0.11041262653701304,0.3469024099920565,0.6699563505039277,9
hermes3,0.54334434905961,0.5433443490596102,0.09474147870111253,0.4568576073662858,0.6298310907529344,6
Mistral,0.529827688890579,0.48595680974441197,0.16136207916105136,0.2125797127620291,0.7677345537757437,15
aya,0.5103441050528698,0.4084861176795812,0.15070929246040932,0.3667588415077863,0.7161720169594186,11
mistral-openorca,0.5004077976564228,0.5004077976564228,0.0,0.5004077976564228,0.5004077976564228,3
openhermes,0.493653670123011,0.493653670123011,0.0,0.493653670123011,0.493653670123011,3
dolphin_llama3,0.4892659505036628,0.4892659505036628,0.06229400774488463,0.43239956177153804,0.5461323392357875,6
Hatebert_toxigen,0.48170866943695434,0.48170866943695434,0.0,0.48170866943695434,0.48170866943695434,3
neural-chat,0.4340958343865868,0.4340958343865868,0.0,0.4340958343865868,0.4340958343865868,3
Perspective,0.42490977909514543,0.38017136325906586,0.3634489589059549,0.0,0.8682873975756755,12
Llama3ChatQA,0.4114292330196883,0.39445060986497055,0.19584868232321764,0.18961775041513296,0.7097493864802559,12
RoBERTa_ToxiGen,0.40664616073361143,0.40664616073361143,0.0,0.40664616073361143,0.40664616073361143,3
llama3-chatqa,0.380291425957562,0.38029142595756193,0.0,0.38029142595756193,0.38029142595756193,3
LlamaGuard,0.35348198530884956,0.35348198530884956,0.2563973359856228,0.11942431096958839,0.5875396596481107,6
granite3-guardian,0.12880531042411056,0.12880531042411056,0.0,0.12880531042411056,0.12880531042411056,3
phi35,0.0004991507020290769,0.0004991507020290769,0.0,0.0004991507020290769,0.0004991507020290769,3
