model,mean_score,median_score,std_score,min_score,max_score,n_experiments
ChatGPT,0.7098250336473755,0.7098250336473755,0.0,0.7098250336473755,0.7098250336473755,3
qwen,0.6996519772162316,0.6020934689665339,0.229823452235887,0.496862462682161,1.0,9
OpenHermes,0.6799856128075665,0.6892624728850325,0.018553720154931994,0.6521550325751685,0.6892624728850325,4
Qwen25,0.6235633103084156,0.6343189969994294,0.08347410653683739,0.5117007442853414,0.7149472530483628,9
gemma2,0.6114619481733421,0.5418823905240189,0.08839744355179535,0.5341246290801187,0.7469793887704335,15
Hermes3,0.5681886048734108,0.6167159297907712,0.12824503539913185,0.3906545383123419,0.68665025157906,9
Roberta,0.5681674410515579,0.6310307140170792,0.19031611318631414,0.2483239278610471,0.7375541125541125,12
NeuralChat,0.5621603589307963,0.5491974289722352,0.12674308263833978,0.3017870423492913,0.717789119880493,12
DolphinLlama,0.5582798020275711,0.5778839427345869,0.1206641123301776,0.40780075220075085,0.6885326353672501,9
hermes3,0.5576201590331972,0.5576201590331972,0.07910311240273082,0.4854092273134599,0.6298310907529344,6
Llama,0.553666094014763,0.5883099860735643,0.12431941726024424,0.3101827922472437,0.6758114898818416,15
MistralOpenOrca,0.5509889022921779,0.5709012730418843,0.1678688578547884,0.2375702811760747,0.738029581348709,12
Aya,0.5329447877441157,0.4946194941530132,0.11270370978973576,0.3469024099920565,0.673914476294655,9
Mistral,0.5317053227017258,0.5130404313158903,0.16508832808784035,0.21257971276202908,0.7677345537757438,15
mistral-openorca,0.5269996018216606,0.5269996018216606,0.0,0.5269996018216606,0.5269996018216606,3
openhermes,0.519749447315712,0.519749447315712,0.0,0.519749447315712,0.519749447315712,3
Hatebert_toxigen,0.5078822150604526,0.5078822150604526,0.0,0.5078822150604526,0.5078822150604526,3
aya,0.5035987545560295,0.43737641449759235,0.14328325892592889,0.3667588415077863,0.7161720169594186,11
dolphin_llama3,0.5014270696012709,0.5014270696012708,0.04897216923635104,0.45672179996675416,0.5461323392357875,6
neural-chat,0.4590588266516344,0.4590588266516344,0.0,0.4590588266516344,0.4590588266516344,3
RoBERTa_ToxiGen,0.43082920084643056,0.4308292008464306,0.0,0.4308292008464306,0.4308292008464306,3
Llama3ChatQA,0.41527763513182747,0.39445060986497055,0.19223572275635387,0.19868573482770807,0.7097493864802559,12
Perspective,0.4130999379806591,0.34277753811090245,0.35769454065085493,0.0,0.8682873975756755,12
llama3-chatqa,0.3958866208346506,0.39588662083465065,0.0,0.39588662083465065,0.39588662083465065,3
LlamaGuard,0.3946532446320962,0.39465324463209617,0.21129648108114873,0.20176682961608164,0.5875396596481107,6
granite3-guardian,0.20701731682329225,0.20701731682329225,0.0,0.20701731682329225,0.20701731682329225,3
phi35,0.0008238674764588467,0.0008238674764588467,0.0,0.0008238674764588467,0.0008238674764588467,3
